"SLA195304140","DET",2,0,0,0,0,"",0,4,"dropw101","R","dropw101","R","trucv101","R","trucv101","R","mossl101","sievr101","younb101","ellib103","huntb105","dyckj101","grotj102","wertv101","","","","K","T","F",3,4,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,12
"SLA195304140","DET",2,0,1,0,0,"",0,4,"niemb101","R","niemb101","R","trucv101","R","trucv101","R","mossl101","sievr101","younb101","ellib103","huntb105","dyckj101","grotj102","wertv101","","","","W","F","F",9,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,13
"SLA195304140","DET",2,0,1,0,0,"",0,4,"delsj101","L","delsj101","L","trucv101","R","trucv101","R","mossl101","sievr101","younb101","ellib103","huntb105","dyckj101","grotj102","wertv101","niemb101","","","46(1)3/GDP","F","F",8,6,2,"T","T",0,"F","F",2,"T","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","46","","","F","F","F","F","F","F","F","F","F","trucv101","","","F","F","F","F","F","","","","",0,6,3,0,4,6,0,0,0,14
"SLA195304140","DET",2,1,0,0,0,"",0,4,"trucv101","R","trucv101","R","garvn102","R","garvn102","R","buchj104","dropw101","frieo101","baumj101","kuenh101","sullr101","delsj101","niemb101","","","","63","T","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,15
"SLA195304140","DET",2,1,1,0,0,"",0,4,"grotj102","R","grotj102","R","garvn102","R","garvn102","R","buchj104","dropw101","frieo101","baumj101","kuenh101","sullr101","delsj101","niemb101","","","","43","F","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,16
"SLA195304140","DET",2,1,2,0,0,"",0,4,"younb101","L","younb101","L","garvn102","R","garvn102","R","buchj104","dropw101","frieo101","baumj101","kuenh101","sullr101","delsj101","niemb101","","","","7","F","F",4,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,17
"SLA195304140","DET",3,0,0,0,0,"",0,4,"baumj101","R","baumj101","R","trucv101","R","trucv101","R","mossl101","sievr101","younb101","ellib103","huntb105","dyckj101","grotj102","wertv101","","","","8","T","F",5,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,18
"SLA195304140","DET",3,0,1,0,0,"",0,4,"buchj104","R","buchj104","R","trucv101","R","trucv101","R","mossl101","sievr101","younb101","ellib103","huntb105","dyckj101","grotj102","wertv101","","","","W","F","F",2,8,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,19
"SLA195304140","DET",3,0,1,0,0,"",0,4,"garvn102","R","garvn102","R","trucv101","R","trucv101","R","mossl101","sievr101","younb101","ellib103","huntb105","dyckj101","grotj102","wertv101","buchj104","","","64(1)3/GDP","F","F",1,9,2,"T","T",0,"F","F",2,"T","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","64","","","F","F","F","F","F","F","F","F","F","trucv101","","","F","F","F","F","F","","","","",0,4,3,0,6,4,0,0,0,20
"SLA195304140","DET",3,1,0,0,0,"",0,4,"dyckj101","R","dyckj101","R","marld101","R","marld101","R","buchj104","dropw101","frieo101","baumj101","kuenh101","sullr101","delsj101","niemb101","","","","S7","T","F",7,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,21
