"KCA200104060","MIN",1,0,0,0,2,"FLFFFX",0,0,"guzmc001","L","guzmc001","L","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","","","","43/G","T","F",6,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,1
"KCA200104060","MIN",1,0,1,1,2,"FFBX",0,0,"hockd001","L","hockd001","L","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","","","","E7/F.B-2","F","F",8,2,18,"T","T",0,"F","F",0,"F","F",0,"F","F",7,"F","F","F","",1,7,"F",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"KCA200104060","MIN",1,0,1,0,1,"CX",0,0,"lawtm002","L","lawtm002","L","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","","hockd001","","13/G","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"13","","","","F","F","F","F","F","F","F","F","F","","meadb001","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,3
"KCA200104060","MIN",1,0,2,0,2,"FCX",0,0,"koskc001","L","koskc001","L","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","","hockd001","","43/G","F","F",5,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"43","","","","F","F","F","F","F","F","F","F","F","","meadb001","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,4
"KCA200104060","MIN",1,1,0,1,0,"BX",0,0,"alicl001","L","alicl001","L","maysj001","R","maysj001","R","print001","miend001","maxwj001","koskc001","guzmc001","jonej003","hockd001","lawtm002","","","","43/G","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,5
"KCA200104060","MIN",1,1,1,2,0,"BBX",0,0,"beltc001","L","beltc001","L","maysj001","R","maysj001","R","print001","miend001","maxwj001","koskc001","guzmc001","jonej003","hockd001","lawtm002","","","","63/G","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,6
"KCA200104060","MIN",1,1,2,1,2,"BSFS",0,0,"sweem002","R","sweem002","R","maysj001","R","maysj001","R","print001","miend001","maxwj001","koskc001","guzmc001","jonej003","hockd001","lawtm002","","","","K","F","F",3,3,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,7
"KCA200104060","MIN",2,0,0,1,2,"CCBFFX",0,0,"ortid001","L","ortid001","L","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","","","","S9/9S","T","F",10,5,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","9S",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"KCA200104060","MIN",2,0,0,0,2,"FCX",0,0,"maxwj001","R","maxwj001","R","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","ortid001","","","8/F8","F","F",4,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","meadb001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,9
"KCA200104060","MIN",2,0,1,0,0,"X",0,0,"jonej003","L","jonej003","L","meadb001","R","meadb001","R","ortih001","sweem002","alicl001","randj002","sancr001","quinm001","beltc001","dye-j001","ortid001","","","46(1)3/GDP","F","F",7,7,2,"T","T",0,"F","F",2,"T","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","46","","","F","F","F","F","F","F","F","F","F","meadb001","","","F","F","F","F","F","","","","",0,6,3,0,4,6,0,0,0,10
