"SFN200104020","SDN",1,0,0,1,1,"CBX",0,0,"jackd003","R","jackd003","R","hernl003","R","hernl003","R","estab001","snowj001","kentj001","davir002","aurir001","bondb001","benam001","riosa001","","","","8/F8","T","F",4,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,1
"SFN200104020","SDN",1,0,1,0,1,"CX",0,0,"kotsm001","L","kotsm001","L","hernl003","R","hernl003","R","estab001","snowj001","kentj001","davir002","aurir001","bondb001","benam001","riosa001","","","","7/F7","F","F",7,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,2
"SFN200104020","SDN",1,0,2,0,1,"CX",0,0,"klesr001","L","klesr001","L","hernl003","R","hernl003","R","estab001","snowj001","kentj001","davir002","aurir001","bondb001","benam001","riosa001","","","","8/F8","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,3
"SFN200104020","SDN",1,1,0,1,2,"SFFBFFX",0,0,"benam001","L","benam001","L","willw001","R","willw001","R","gonzw001","klesr001","jackd003","nevip001","gomec001","kotsm001","darrm001","gwynt001","","","","43/G","T","F",8,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,4
"SFN200104020","SDN",1,1,1,0,1,"CX",0,0,"aurir001","R","aurir001","R","willw001","R","willw001","R","gonzw001","klesr001","jackd003","nevip001","gomec001","kotsm001","darrm001","gwynt001","","","","S9","F","F",6,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"SFN200104020","SDN",1,1,1,0,0,"X",0,0,"bondb001","L","bondb001","L","willw001","R","willw001","R","gonzw001","klesr001","jackd003","nevip001","gomec001","kotsm001","darrm001","gwynt001","aurir001","","","7/F7D","F","F",7,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","7D",0,0,"N",0,"N",0,"N",0,1,0,0,"7","","","","F","F","F","F","F","F","F","F","F","willw001","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,6
"SFN200104020","SDN",1,1,2,2,0,"BBX",0,0,"kentj001","R","kentj001","R","willw001","R","willw001","R","gonzw001","klesr001","jackd003","nevip001","gomec001","kotsm001","darrm001","gwynt001","aurir001","","","D8/8D.1-3","F","F",4,4,21,"T","T",2,"F","F",0,"F","F",0,"F","F",8,"","F","F","8D",0,0,"N",0,"N",0,"N",2,3,0,0,"","","","","F","F","F","F","F","F","F","F","F","willw001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7
"SFN200104020","SDN",1,1,2,3,2,"BCCBBB",0,0,"snowj001","L","snowj001","L","willw001","R","willw001","R","gonzw001","klesr001","jackd003","nevip001","gomec001","kotsm001","darrm001","gwynt001","","kentj001","aurir001","W","F","F",3,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,3,"","","","","F","F","F","F","F","F","F","F","F","","willw001","willw001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"SFN200104020","SDN",1,1,2,3,2,"BBBCFS",0,0,"davir002","R","davir002","R","willw001","R","willw001","R","gonzw001","klesr001","jackd003","nevip001","gomec001","kotsm001","darrm001","gwynt001","snowj001","kentj001","aurir001","K","F","F",5,6,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,2,3,"2","","","","F","F","F","F","F","F","F","F","F","willw001","willw001","willw001","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9
"SFN200104020","SDN",2,0,0,0,1,"CX",0,0,"nevip001","R","nevip001","R","hernl003","R","hernl003","R","estab001","snowj001","kentj001","davir002","aurir001","bondb001","benam001","riosa001","","","","E6/TH","T","F",5,4,18,"T","T",0,"F","F",0,"F","F",0,"F","F",6,"G","F","F","",1,6,"T",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
