"ANA199904060","CLE",1,0,0,3,1,"BSBBB",0,0,"loftk001","L","loftk001","L","belct001","R","belct001","R","walbm001","vaugm001","velar001","glaut001","sheea001","erstd001","andeg001","salmt001","","","","W","T","F",8,1,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"ANA199904060","CLE",1,0,0,3,2,"CF1B11FB1BFFX",0,0,"vizqo001","L","vizqo001","L","belct001","R","belct001","R","walbm001","vaugm001","velar001","glaut001","sheea001","erstd001","andeg001","salmt001","loftk001","","","8/F8RM","F","F",6,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","8RM",0,0,"N",0,"N",0,"N",0,1,0,0,"8","","","","F","F","F","F","F","F","F","F","F","belct001","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,2
"ANA199904060","CLE",1,0,1,3,1,"B1BBCB",0,0,"alomr001","L","alomr001","L","belct001","R","belct001","R","walbm001","vaugm001","velar001","glaut001","sheea001","erstd001","andeg001","salmt001","loftk001","","","W.1-2","F","F",4,3,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","belct001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,3
"ANA199904060","CLE",1,0,1,0,1,"FX",0,0,"thomj002","L","thomj002","L","belct001","R","belct001","R","walbm001","vaugm001","velar001","glaut001","sheea001","erstd001","andeg001","salmt001","alomr001","loftk001","","5/P5S","F","F",3,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"P","F","F","5S",0,0,"N",0,"N",0,"N",0,1,2,0,"5","","","","F","F","F","F","F","F","F","F","F","belct001","belct001","","F","F","F","F","F","","","","",0,5,0,0,0,0,0,0,0,4
"ANA199904060","CLE",1,0,2,0,1,"SX",0,0,"ramim002","R","ramim002","R","belct001","R","belct001","R","walbm001","vaugm001","velar001","glaut001","sheea001","erstd001","andeg001","salmt001","alomr001","loftk001","","43/G34","F","F",9,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","34",0,0,"N",0,"N",0,"N",0,1,2,0,"43","","","","F","F","F","F","F","F","F","F","F","belct001","belct001","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,5
"ANA199904060","CLE",1,1,0,3,2,"FBFBFBFB",0,0,"erstd001","L","erstd001","L","wrigj002","R","wrigj002","R","aloms001","thomj002","alomr001","frymt001","vizqo001","justd001","loftk001","ramim002","","","","W","T","F",7,1,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"ANA199904060","CLE",1,1,0,0,0,"X",0,0,"velar001","R","velar001","R","wrigj002","R","wrigj002","R","aloms001","thomj002","alomr001","frymt001","vizqo001","justd001","loftk001","ramim002","erstd001","","","S8/L4M.1-2","F","F",4,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","4M",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","wrigj002","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,7
"ANA199904060","CLE",1,1,0,2,2,"CCBBX",0,0,"vaugm001","L","vaugm001","L","wrigj002","R","wrigj002","R","aloms001","thomj002","alomr001","frymt001","vizqo001","justd001","loftk001","ramim002","velar001","erstd001","","7/F78D","F","F",3,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","78D",0,0,"N",0,"N",0,"N",0,1,2,0,"7","","","","F","F","F","F","F","F","F","F","F","wrigj002","wrigj002","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,8
"ANA199904060","CLE",1,1,1,1,0,"BX",0,0,"salmt001","R","salmt001","R","wrigj002","R","wrigj002","R","aloms001","thomj002","alomr001","frymt001","vizqo001","justd001","loftk001","ramim002","velar001","erstd001","","7(B)4(2)/LDP/L78M","F","F",9,4,2,"T","T",0,"F","F",2,"T","F",0,"F","F",7,"L","F","F","78M",0,0,"N",0,"N",0,"N",0,1,0,0,"7","","74","","F","F","F","F","F","F","F","F","F","wrigj002","wrigj002","","F","F","F","F","F","","","","",0,7,4,0,7,0,0,0,0,9
"ANA199904060","CLE",2,0,0,0,2,"CFX",0,0,"justd001","L","justd001","L","belct001","R","belct001","R","walbm001","vaugm001","velar001","glaut001","sheea001","erstd001","andeg001","salmt001","","","","7/F8LD","T","F",7,6,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","8LD",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,10
