"PHI200803310","WAS",1,0,0,2,2,"BCCBX",0,0,"guzmc001","L","guzmc001","L","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","","","","4/P","T","F",6,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,1
"PHI200803310","WAS",1,0,1,0,2,"CFFX",0,0,"milll002","R","milll002","R","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","","","","7/L","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"7","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,2
"PHI200803310","WAS",1,0,2,1,2,"BFFX",0,0,"zimmr001","R","zimmr001","R","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","","","","4/L-","F","F",5,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"L","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"4","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,4,0,0,0,0,0,0,0,3
"PHI200803310","WAS",1,1,0,3,2,"BBCBCX",0,0,"rollj001","R","rollj001","R","chicm001","L","chicm001","L","lodup001","johnn001","bellr002","zimmr001","guzmc001","harrw001","milll002","keara001","","","","D7/L","T","F",6,1,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,4
"PHI200803310","WAS",1,1,0,0,0,"X",0,0,"victs001","R","victs001","R","chicm001","L","chicm001","L","lodup001","johnn001","bellr002","zimmr001","guzmc001","harrw001","milll002","keara001","","rollj001","","54/SH/BG.2-3","F","F",8,2,2,"T","F",0,"T","F",1,"F","F",0,"F","F",5,"G","T","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"54","","","","F","F","F","F","F","F","F","F","F","","chicm001","","F","F","F","F","F","","","","",0,4,0,0,5,0,0,0,0,5
"PHI200803310","WAS",1,1,1,2,2,"CBSBX",0,0,"utlec001","L","utlec001","L","chicm001","L","chicm001","L","lodup001","johnn001","bellr002","zimmr001","guzmc001","harrw001","milll002","keara001","","","rollj001","8/SF/F.3-H","F","F",4,3,2,"T","F",0,"F","T",1,"F","F",1,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,4,"8","","","","F","F","F","F","F","F","F","F","F","","","chicm001","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,6
"PHI200803310","WAS",1,1,2,1,1,"SBX",0,1,"howar001","L","howar001","L","chicm001","L","chicm001","L","lodup001","johnn001","bellr002","zimmr001","guzmc001","harrw001","milll002","keara001","","","","43/G","F","F",3,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,7
"PHI200803310","WAS",2,0,0,2,1,"CBBX",0,1,"johnn001","L","johnn001","L","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","","","","D7/L","T","F",3,4,21,"T","T",2,"F","F",0,"F","F",0,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"PHI200803310","WAS",2,0,0,1,2,"BCCC",0,1,"keara001","R","keara001","R","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","","johnn001","","K","F","F",9,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"2","","","","F","F","F","F","F","F","F","F","F","","myerb001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,9
"PHI200803310","WAS",2,0,1,1,1,"FBH",0,1,"lodup001","R","lodup001","R","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","","johnn001","","HP","F","F",2,6,16,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,0,"","","","","F","F","F","F","F","F","F","F","F","","myerb001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,10
"PHI200803310","WAS",2,0,1,0,0,"X",0,1,"bellr002","R","bellr002","R","myerb001","R","myerb001","R","ruizc001","howar001","utlec001","felip001","rollj001","burrp001","victs001","wertj001","lodup001","johnn001","","8/F.2-3","F","F",4,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,3,0,"8","","","","F","F","F","F","F","F","F","F","F","myerb001","myerb001","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,11
