"SDN200904060","LAN",1,0,0,2,1,"CBBX",0,0,"furcr001","L","furcr001","L","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","","","","S9/L","T","F",6,1,20,"T","T",1,"F","F",0,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","T","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,1
"SDN200904060","LAN",1,0,0,0,0,"X",0,0,"hudso001","L","hudso001","L","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","furcr001","","","S8/L.1-2","F","F",4,2,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"L","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","peavj001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,2
"SDN200904060","LAN",1,0,0,0,0,"X",0,0,"ramim002","R","ramim002","R","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","hudso001","furcr001","","8/F","F","F",7,3,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"8","","","","F","F","F","F","F","F","F","F","F","peavj001","peavj001","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,3
"SDN200904060","LAN",1,0,1,1,1,"BCX",0,0,"ethia001","L","ethia001","L","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","hudso001","furcr001","","7/F","F","F",9,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",7,"F","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"7","","","","F","F","F","F","F","F","F","F","F","peavj001","peavj001","","F","F","F","F","F","","","","",0,7,0,0,0,0,0,0,0,4
"SDN200904060","LAN",1,0,2,2,1,"CBB>B",0,0,"martr004","R","martr004","R","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","hudso001","furcr001","","SB3;SB2","F","F",2,5,4,"F","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,2,3,0,"","","","","T","T","F","F","F","F","F","F","F","peavj001","peavj001","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,5
"SDN200904060","LAN",1,0,2,3,1,"CBB>B.B",0,0,"martr004","R","martr004","R","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","","hudso001","furcr001","W","F","F",2,5,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,2,3,"","","","","F","F","F","F","F","F","F","F","F","","peavj001","peavj001","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,6
"SDN200904060","LAN",1,0,2,1,2,"CFBX",0,0,"lonej001","L","lonej001","L","peavj001","R","peavj001","R","blanh001","gonza003","ecksd001","kouzk001","rodrl002","headc001","geruj001","gileb002","martr004","hudso001","furcr001","S7/L.3-H;2-H;1-3;BX2(724/TH)","F","F",3,6,20,"T","T",1,"F","F",1,"F","F",2,"F","F",7,"L","F","F","",0,0,"N",0,"N",0,"N",0,3,4,4,"724","","","","F","F","F","F","F","F","F","F","F","peavj001","peavj001","peavj001","F","F","F","F","F","","","","",0,4,0,0,7,2,0,0,0,7
"SDN200904060","LAN",1,1,0,0,0,"X",2,0,"geruj001","L","geruj001","L","kuroh001","R","kuroh001","R","martr004","lonej001","hudso001","blakc001","furcr001","ramim002","kempm001","ethia001","","","","D9/L","T","F",8,1,21,"T","T",2,"F","F",0,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",2,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,8
"SDN200904060","LAN",1,1,0,0,0,"X",2,0,"ecksd001","R","ecksd001","R","kuroh001","R","kuroh001","R","martr004","lonej001","hudso001","blakc001","furcr001","ramim002","kempm001","ethia001","","geruj001","","53/SH/BG.2-3","F","F",4,2,2,"T","F",0,"T","F",1,"F","F",0,"F","F",5,"G","T","F","",0,0,"N",0,"N",0,"N",0,0,3,0,"53","","","","F","F","F","F","F","F","F","F","F","","kuroh001","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,9
"SDN200904060","LAN",1,1,1,2,2,"CFBBFX",2,0,"gileb002","L","gileb002","L","kuroh001","R","kuroh001","R","martr004","lonej001","hudso001","blakc001","furcr001","ramim002","kempm001","ethia001","","","geruj001","63/G.3-H","F","F",9,3,2,"T","T",0,"F","F",1,"F","F",1,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,4,"63","","","","F","F","F","F","F","F","F","F","F","","","kuroh001","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,10
